jd_no,text_job
0,"Job Title: Senior Software Engineer  
Company: Codeliq  

This remote contract role involves responsibilities in software development, focusing on back-end web development and programming. Required technical skills include over 5 years of experience with Java and key Java-based frameworks such as Spring, Spring Boot, and Hibernate, as well as experience in building RESTful web services. A strong foundation in object-oriented programming, deep understanding of SQL and relational databases, and familiarity with test-driven development are essential. Candidates should possess a strong background in back-end web development and software development, along with excellent problem-solving and analytical skills, and the ability to work independently."
1,"The Principal Data Scientist - Biostatistics at 4D Molecular Therapeutics will provide statistical expertise to support clinical development projects, collaborating with cross-functional teams on study design, protocol development, and statistical analysis. Responsibilities include developing statistical analysis plans (SAP), randomization schemas, and statistical reports, ensuring data quality and interpretation, and contributing to regulatory submission documents. Required qualifications include a minimum of 12 years of experience in the biotech/pharmaceutical industry or medical research, with a focus on clinical development; proficiency in SAS programming (SAS/BASE, SAS Macros, SAS/Stat, ODS) and familiarity with R programming; knowledge of clinical trial standards (CDISC, SDTM, ADaM) and regulatory requirements for submissions; and strong organizational, communication, and project management skills. Experience in ophthalmology or gene therapy is advantageous. The role involves oversight of biometrics vendors and quality review of statistical deliverables. The base salary range is $182,000 to $211,000, depending on experience and location."
2,"Job Title: Systems Engineer  
Company: Allied OneSource  

Responsibilities include implementing professional services, troubleshooting, and configuring various Windows server and network technologies such as Hyper-V, Active Directory (AD), Remote Desktop Services (RDS), and Failover Clustering. The role involves pre-sales technical consulting, creating technical documentation, and project scopes, as well as providing technical support, scripting, equipment configuration, and software updates. Required technical skills include a minimum of an Associate's degree or equivalent experience/certifications, with at least 3 years of server administration experience, particularly with Windows Server technologies. Familiarity with PowerShell scripting and peripheral device configuration is advantageous. Strong critical thinking, troubleshooting, and diagnostic skills are essential, along with excellent written communication and documentation abilities. The candidate should demonstrate teamwork, organizational skills, and the ability to meet deadlines. Preferred qualifications include experience with WatchGuard firewalls and a Bachelor's degree in a relevant field. Salary is $75,000."
3,"Job Title: DevOps Engineer III  
Company: Cube Group, Inc.  

Responsibilities include developing and maintaining Infrastructure as Code automation using Ansible and Terraform, creating and optimizing monitoring dashboards and alerts, enhancing platform security and reliability through automated solutions, providing technical leadership and mentoring to junior engineers, participating in code reviews, and collaborating with cross-functional teams to resolve technical issues. Required technical skills include proficiency in Ansible and Terraform, experience with Linux server management in high-security environments, familiarity with monitoring tools like DataDog, and knowledge of secrets management systems such as Hashicorp Vault. Candidates should have 8+ years of DevOps experience, strong problem-solving abilities, and effective communication skills. Experience with trading platforms and blockchain technology is a plus. The role involves working in a fast-paced environment and contributing to a digital asset marketplace."
4,"Job Title: Sr .Net Developer  
Company: OKAYA INFOCOM  
Location: Miami, FL (Hybrid)  
Duration: 12-24+ months  

Responsibilities include hands-on coding and development, architecting enterprise solutions, and full documentation of projects. Required skills include a minimum of 10 years of .NET software development experience, strong proficiency in C#/.NET, SQL, and deep knowledge of Angular or React. Experience with MongoDB, DocumentDB, or other NoSQL/SQL databases is necessary. Familiarity with cutting-edge projects in AI, FinTech, or Crypto is advantageous, as the role involves building new applications. Strong written and verbal communication skills are essential."
5,"The UX Designer Lead, Managing Consultant at Guidehouse is responsible for creating digital experiences for commercial and public sector clients, focusing on user experience (UX) and user interface (UI) design. Key tasks include conducting user research, leading UI design for websites and applications, and providing strategic consultative support in areas such as business analysis and stakeholder engagement. Required skills include over 8 years of UX/UI design experience, proficiency in design tools like Figma and InVision, and familiarity with human-centered design methodologies. Experience with federal government projects or regulated industries is preferred. The role involves managing a team of 2-3 consultants, participating in business development, and supporting client engagements. Candidates must possess a US equivalent Bachelor’s degree and the ability to obtain a Public Trust security clearance. Travel may be required up to 20%."
6,"Job Title: Opto-Mechanical Systems Engineer Intern - Summer 2024  
Location: Redwood City, CA  

Responsibilities include developing, implementing, and validating an automated calibration process for an optical sensor in 3D printers. Key tasks involve writing Python code for motorized positioning equipment, sensors, and light sources; collecting and processing sensor data; writing unit tests; using optical design software for parameter extraction; integrating software and hardware; and validating the system. Required skills include proficiency in Python, familiarity with optical design software (preferably Zemax), and basic mechanical principles. The role involves collaboration with Optics and Systems engineering teams and requires 60% onsite presence."
7,"Java Full Stack Developer responsible for designing, developing, and maintaining software applications using Java, Spring Boot, Spring Batch, Kafka, and AWS cloud services. Key tasks include deploying Java-based applications, implementing event-driven architectures with Kafka, and developing scalable microservices and APIs utilizing AWS services such as EC2, S3, Lambda, and RDS. Required skills include strong programming in Java, proficiency in Spring frameworks, hands-on experience with Kafka, and familiarity with microservices architecture and RESTful APIs. Knowledge of containerization (Docker, Kubernetes), Agile methodologies, and DevOps practices is necessary. A Bachelor's degree in Computer Science or related field is required, with a preference for a Master's degree and 3-5 years of experience in Java development. Preferred qualifications include AWS certification, experience with database systems (MySQL, PostgreSQL, MongoDB), CI/CD pipelines, and software development tools (Git, JIRA)."
8,"Job Title: Transformation Data Analyst - Financial Services  
Location: Hybrid - NYC 10013  
Contract Rate: $73-96/hour  

The Transformation Data Analyst will support the Data Remediation Transformation Program in a financial services context, focusing on improving data quality related to regulations. Responsibilities include creating and maintaining a centralized SharePoint site, developing automated workflow tools, supporting reporting and analytics processes, analyzing remediation progress, and implementing governance processes. Required skills include over 10 years of experience in finance or project management, proficiency in KNIME for data analytics, SharePoint, Microsoft Office (including VBA and Excel), SQL, and relational database management systems. Experience with Microsoft Access, Lynx UI, Optima Cognos Reporting Tool, and data extraction from Data Globe is necessary, along with a solid understanding of loan data hierarchy. A bachelor's degree is required."
9,"Job Title: Senior Network Engineer  
Company: TSR Consulting Services, Inc.  
Location: Alpharetta, GA (hybrid, 3 days onsite including weekends)  

Responsibilities include designing and implementing large-scale networks, ensuring secure separation between production and non-production environments, and maintaining network infrastructure. Required technical skills encompass Ethernet technologies (STP, 802.1Q, VPC, Multilayer Switching), IP routing protocols (RIP, OSPF, BGP, MPBGP, TCP/IP), multicast routing (PIM, IGMP, MSDP), and familiarity with Cisco (Nexus 9000 Series, IOS, IOS-XE, NXOS, IOS-XR) and Arista platforms (EOS). Experience with network segmentation, network hardware administration, and virtualization across multiple environments is essential. Familiarity with JIRA for Agile-Kanban project management is needed. Desired skills include proficiency in Microsoft applications (Visio, Word, Excel, Outlook), UNIX or Linux, and scripting/automation using Python or Ansible. Tools such as Wireshark, Infoblox, HPNA, Splunk, and Sevone are relevant. Knowledge of SDN, SDWAN, DMVPN, public cloud, Kubernetes, storage over IP, and VMware is beneficial. A strong understanding of security concepts, including defense in depth and zero trust networking, is required. Certifications such as CCIE or equivalent and CISSP are highly desirable. Candidates should have 15+ years of experience in a financial services firm, technology vendor, or systems integrator, with strong presentation skills and the ability to work independently and collaboratively."
